Season,La Liga,Serie A,Ligue 1
1966-67,Waldo - Valencia - 24,Gigi Riva - Cagliari - 18,Hervé Revelli - Saint-Étienne - 31
1967-68,Fidel Uriarte - Athletic Bilbao - 22,Pierino Prati - AC Milan - 15,Étienne Sansonetti - Ajaccio - 26
1968-69,Amancio / Gárate - 14,Gigi Riva - Cagliari - 21,André Guy - Lyon - 25
1969-70,Amancio / Luis Aragonés / Gárate - 16,Gigi Riva - Cagliari - 21,Hervé Revelli - Saint-Étienne - 28
1970-71,Gárate / Rexach - 17,Roberto Boninsegna - Inter - 24,Josip Skoblar - Marseille - 44
1971-72,Enrique Porta - Granada - 20,Roberto Boninsegna - Inter - 22,Josip Skoblar - Marseille - 30
1972-73,Marianín - Oviedo - 19,Savoldi / Pulici / Rivera - 17,Josip Skoblar - Marseille - 26
1973-74,Quini - Sporting Gijón - 20,Giorgio Chinaglia - Lazio - 24,Carlos Bianchi - Reims - 30
1974-75,Carlos - Athletic Bilbao - 19,Paolo Pulici - Torino - 18,Delio Onnis - Monaco - 30
1975-76,Quini - Sporting Gijón - 21,Paolo Pulici - Torino - 21,Carlos Bianchi - Reims - 34
1976-77,Mario Kempes - Valencia - 24,Francesco Graziani - Torino - 21,Carlos Bianchi - Reims - 28
1977-78,Mario Kempes - Valencia - 28,Paolo Rossi - Vicenza - 24,Carlos Bianchi - PSG - 37
1978-79,Hans Krankl - Barcelona - 29,Bruno Giordano - Lazio - 19,Carlos Bianchi - PSG - 27
1979-80,Quini - Sporting Gijón - 24,Roberto Bettega - Juventus - 16,Kostedde / Onnis - 21
1980-81,Quini - Barcelona - 20,Roberto Pruzzo - Roma - 18,Delio Onnis - Tours - 24
1981-82,Quini - Barcelona - 27,Roberto Pruzzo - Roma - 15,Delio Onnis - Tours - 29
1982-83,Poli Rincón - Real Betis - 20,Michel Platini - Juventus - 16,Vahid Halilhodžić - Nantes - 27
1983-84,Jorge da Silva / Juanito - 17,Michel Platini - Juventus - 20,Garande / Onnis - 21
1984-85,Hugo Sánchez - Atlético Madrid - 19,Michel Platini - Juventus - 18,Vahid Halilhodžić - Nantes - 28
1985-86,Hugo Sánchez - Real Madrid - 22,Roberto Pruzzo - Roma - 19,Jules Bocandé - Metz - 23
1986-87,Hugo Sánchez - Real Madrid - 34,Pietro Paolo Virdis - AC Milan - 17,Bernard Zénier - Metz - 18
1987-88,Hugo Sánchez - Real Madrid - 29,Diego Maradona - Napoli - 15,Jean-Pierre Papin - Marseille - 19
1988-89,Baltazar - Atlético Madrid - 35,Aldo Serena - Inter - 22,Jean-Pierre Papin - Marseille - 22
1989-90,Hugo Sánchez - Real Madrid - 38,Marco van Basten - AC Milan - 19,Jean-Pierre Papin - Marseille - 30
1990-91,Emilio Butragueño - Real Madrid - 19,Gianluca Vialli - Sampdoria - 19,Jean-Pierre Papin - Marseille - 23
1991-92,Manolo - Atlético Madrid - 27,Marco van Basten - AC Milan - 25,Jean-Pierre Papin - Marseille - 27
1992-93,Bebeto - Deportivo - 29,Giuseppe Signori - Lazio - 26,Alen Bokšić - Marseille - 23
1993-94,Romário - Barcelona - 30,Giuseppe Signori - Lazio - 23,Boli / Djorkaeff / Ouédec - 20
1994-95,Iván Zamorano - Real Madrid - 28,Gabriel Batistuta - Fiorentina - 26,Patrice Loko - Nantes - 22
1995-96,Juan Antonio Pizzi - Tenerife - 31,Protti / Signori - 24,Sonny Anderson - Monaco - 21
1996-97,Ronaldo - Barcelona - 34,Filippo Inzaghi - Atalanta - 24,Stéphane Guivarc'h - Rennes - 21
1997-98,Christian Vieri - Atlético Madrid - 24,Oliver Bierhoff - Udinese - 27,Stéphane Guivarc'h - Auxerre - 21
1998-99,Raúl - Real Madrid - 25,Márcio Amoroso - Udinese - 22,Sylvain Wiltord - Bordeaux - 22
